repo_names
jtleek/datasharing
rdpeng/ProgrammingAssignment2
octocat/Spoon-Knife
tensorflow/tensorflow
twbs/bootstrap
SmartThingsCommunity/SmartThingsPublic
rdpeng/ExData_Plotting1
github/gitignore
tensorflow/models
nightscout/cgm-remote-monitor
EbookFoundation/free-programming-books
rdpeng/RepData_PeerAssessment1
opencv/opencv
torvalds/linux
angular/angular.js
eugenp/tutorials
DataScienceSpecialization/courses
jackfrued/Python-100-Days
spring-projects/spring-boot
jwasham/coding-interview-university
CyC2018/CS-Notes
facebook/react
barryclark/jekyll-now
jlord/patchwork
Pierian-Data/Complete-Python-3-Bootcamp
bitcoin/bitcoin
udacity/frontend-nanodegree-resume
firstcontributions/first-contributions
freeCodeCamp/freeCodeCamp
vuejs/vue
getify/You-Dont-Know-JS
LarryMad/recipes
spring-projects/spring-framework
Snailclimb/JavaGuide
mrdoob/three.js
d3/d3
kubernetes/kubernetes
996icu/996.ICU
apache/spark
apache/dubbo
DefinitelyTyped/DefinitelyTyped
django/django
ant-design/ant-design
shadowsocks/shadowsocks
TheAlgorithms/Python
justjavac/free-programming-books-zh_CN
scikit-learn/scikit-learn
jquery/jquery
facebook/react-native
ohmyzsh/ohmyzsh
rails/rails
slatedocs/slate
BVLC/caffe
git/git
ansible/ansible
airbnb/javascript
laravel/laravel
facebook/create-react-app
keras-team/keras
iluwatar/java-design-patterns
sindresorhus/awesome
moby/moby
aspnet/AspNetCore.Docs
PanJiaChen/vue-element-admin
gabrielecirulli/2048
antirez/redis
nodejs/node
elastic/elasticsearch
angular/angular
vinta/awesome-python
kamranahmedse/developer-roadmap
shadowsocks/shadowsocks-windows
hakimel/reveal.js
wakaleo/game-of-life
tastejs/todomvc
atom/atom
reduxjs/redux
daneden/animate.css
aymericdamien/TensorFlow-Examples
mui-org/material-ui
ColorlibHQ/AdminLTE
wesbos/JavaScript30
microsoft/vscode
ionic-team/ionic
pallets/flask
donnemartin/system-design-primer
udacity/course-collaboration-travel-plans
python/cpython
Homebrew/legacy-homebrew
xingshaocheng/architect-awesome
apache/incubator-echarts
Trinea/android-open-project
helm/charts
udacity/fullstack-nanodegree-vm
odoo/odoo
selfteaching/the-craft-of-selfteaching
scutan90/DeepLearning-500-questions
josephmisiti/awesome-machine-learning
macrozheng/mall
heroku/node-js-sample
shadowsocks/shadowsocks-android
qmk/qmk_firmware
protocolbuffers/protobuf
electron/electron
h5bp/html5-boilerplate
FortAwesome/Font-Awesome
flutter/flutter
bailicangdu/vue2-elm
netty/netty
udacity/create-your-own-adventure
ytdl-org/youtube-dl
chartjs/Chart.js
getlantern/lantern
jenkins-docs/simple-java-maven-app
mmistakes/minimal-mistakes
AFNetworking/AFNetworking
pjreddie/darknet
android/architecture-samples
ageron/handson-ml
doocs/advanced-java
ElemeFE/element
golang/go
wasabeef/awesome-android-ui
karan/Projects
rapid7/metasploit-framework
danielmiessler/SecLists
bettiolo/node-echo
trekhleb/javascript-algorithms
astaxie/build-web-application-with-golang
ethereum/go-ethereum
pandas-dev/pandas
ityouknow/spring-boot-examples
deepfakes/faceswap
Azure/azure-quickstart-templates
PX4/Firmware
wesm/pydata-book
socketio/socket.io
jakevdp/PythonDataScienceHandbook
MicrosoftDocs/azure-docs
h5bp/Front-end-Developer-Interview-Questions
